,name,file
347,Bookshelf Symbol 7,C:\Windows\Fonts\BSSYM7.TTF
348,Tw Cen MT Condensed,C:\Windows\Fonts\TCCB____.TTF
349,Elephant,C:\Windows\Fonts\ELEPHNTI.TTF
350,MS Gothic,C:\Windows\Fonts\msgothic.ttc
351,Symbol,C:\Windows\Fonts\symbol.ttf
352,Sitka Small,C:\Windows\Fonts\SitkaZ.ttc
353,Bookman Old Style,C:\Windows\Fonts\BOOKOSI.TTF
354,Yu Gothic,C:\Windows\Fonts\YuGothB.ttc
355,Nirmala UI,C:\Windows\Fonts\NirmalaB.ttf
356,Lucida Console,C:\Windows\Fonts\lucon.ttf
357,Tw Cen MT,C:\Windows\Fonts\TCMI____.TTF
358,Georgia,C:\Windows\Fonts\georgia.ttf
359,HYHeadLine-Medium,C:\Windows\Fonts\H2HDRM.TTF
360,Berlin Sans FB,C:\Windows\Fonts\BRLNSR.TTF
361,Lucida Sans,C:\Windows\Fonts\LSANSDI.TTF
362,Stencil,C:\Windows\Fonts\STENCIL.TTF
363,Informal Roman,C:\Windows\Fonts\INFROMAN.TTF
